[  144.996031] SCHED_LOG: pid=2369, nice=19, vruntime=23887592022, deadline=23887610772, burst_ns=199702 comm=cpuChild
[  144.996230] SCHED_LOG: pid=2370, nice=10, vruntime=23877252235, deadline=23877276428, burst_ns=186286 comm=cpuChild
[  144.996335] SCHED_LOG: pid=2370, nice=10, vruntime=23878039300, deadline=23878063493, burst_ns=84548 comm=cpuChild
[  144.996408] SCHED_LOG: pid=2370, nice=10, vruntime=23878591124, deadline=23878615317, burst_ns=59278 comm=cpuChild
[  144.996633] SCHED_LOG: pid=2370, nice=10, vruntime=23880575040, deadline=23880599233, burst_ns=213116 comm=cpuChild
[  144.996817] SCHED_LOG: pid=2370, nice=10, vruntime=23882176585, deadline=23882200778, burst_ns=172041 comm=cpuChild
[  144.997006] SCHED_LOG: pid=2370, nice=10, vruntime=23883827142, deadline=23883851335, burst_ns=177306 comm=cpuChild
[  144.997183] SCHED_LOG: pid=2370, nice=10, vruntime=23885359744, deadline=23885383937, burst_ns=164635 comm=cpuChild
[  144.997352] SCHED_LOG: pid=2370, nice=10, vruntime=23886820340, deadline=23886844533, burst_ns=156900 comm=cpuChild
[  144.997446] SCHED_LOG: pid=2370, nice=10, vruntime=23887585863, deadline=23887610056, burst_ns=82234 comm=cpuChild
[  144.997536] SCHED_LOG: pid=2370, nice=10, vruntime=23888316570, deadline=23888340763, burst_ns=78494 comm=cpuChild
[  144.997716] SCHED_LOG: pid=2369, nice=19, vruntime=23899048192, deadline=23899066942, burst_ns=167815 comm=cpuChild
[  144.997891] SCHED_LOG: pid=2370, nice=10, vruntime=23889826569, deadline=23889850762, burst_ns=162207 comm=cpuChild
[  144.998046] SCHED_LOG: pid=2370, nice=10, vruntime=23891165877, deadline=23891190070, burst_ns=143871 comm=cpuChild
[  144.998135] SCHED_LOG: pid=2370, nice=10, vruntime=23891879362, deadline=23891903555, burst_ns=76644 comm=cpuChild
[  144.998310] SCHED_LOG: pid=2370, nice=10, vruntime=23893406471, deadline=23893430664, burst_ns=164045 comm=cpuChild
[  144.998483] SCHED_LOG: pid=2370, nice=10, vruntime=23894906426, deadline=23894930619, burst_ns=161128 comm=cpuChild
[  144.998661] SCHED_LOG: pid=2370, nice=10, vruntime=23896457841, deadline=23896482034, burst_ns=166656 comm=cpuChild
[  144.998831] SCHED_LOG: pid=2370, nice=10, vruntime=23897925772, deadline=23897949965, burst_ns=157688 comm=cpuChild
[  144.999044] SCHED_LOG: pid=2370, nice=10, vruntime=23899746797, deadline=23899770990, burst_ns=195618 comm=cpuChild
[  144.999339] SCHED_LOG: pid=2369, nice=19, vruntime=23915590980, deadline=23915609730, burst_ns=242326 comm=cpuChild
[  144.999559] SCHED_LOG: pid=2370, nice=10, vruntime=23901460358, deadline=23901484551, burst_ns=184074 comm=cpuChild
[  144.999644] SCHED_LOG: pid=2370, nice=10, vruntime=23902128396, deadline=23902152589, burst_ns=71762 comm=cpuChild
[  144.999735] SCHED_LOG: pid=2370, nice=10, vruntime=23902860230, deadline=23902884423, burst_ns=78615 comm=cpuChild
[  144.999914] SCHED_LOG: pid=2370, nice=10, vruntime=23904372929, deadline=23904397122, burst_ns=162497 comm=cpuChild
[  145.000272] SCHED_LOG: pid=2370, nice=10, vruntime=23907264574, deadline=23907288767, burst_ns=310626 comm=cpuChild
[  145.000501] SCHED_LOG: pid=2370, nice=10, vruntime=23909007757, deadline=23909031950, burst_ns=187256 comm=cpuChild
[  145.000720] SCHED_LOG: pid=2370, nice=10, vruntime=23910868504, deadline=23910892697, burst_ns=199885 comm=cpuChild
[  145.000926] SCHED_LOG: pid=2370, nice=10, vruntime=23912669571, deadline=23912693764, burst_ns=193474 comm=cpuChild
[  145.001239] SCHED_LOG: pid=2370, nice=10, vruntime=23915442050, deadline=23915466243, burst_ns=297825 comm=cpuChild
[  145.001615] SCHED_LOG: pid=2370, nice=10, vruntime=23918710890, deadline=23918735083, burst_ns=351145 comm=cpuChild
[  145.001815] SCHED_LOG: pid=2369, nice=19, vruntime=23928318071, deadline=23928336821, burst_ns=186432 comm=cpuChild
[  145.002033] SCHED_LOG: pid=2370, nice=10, vruntime=23920619216, deadline=23920643409, burst_ns=204996 comm=cpuChild
[  145.002300] SCHED_LOG: pid=2370, nice=10, vruntime=23922699034, deadline=23922723227, burst_ns=223418 comm=cpuChild
[  145.002406] SCHED_LOG: pid=2370, nice=10, vruntime=23923558039, deadline=23923582232, burst_ns=92276 comm=cpuChild
[  145.002572] SCHED_LOG: pid=2370, nice=10, vruntime=23924990140, deadline=23925014333, burst_ns=153839 comm=cpuChild
[  145.002654] SCHED_LOG: pid=2370, nice=10, vruntime=23925641785, deadline=23925665978, burst_ns=70001 comm=cpuChild
[  145.002740] SCHED_LOG: pid=2370, nice=10, vruntime=23926342554, deadline=23926366747, burst_ns=75278 comm=cpuChild
[  145.002949] SCHED_LOG: pid=2370, nice=10, vruntime=23928178613, deadline=23928202806, burst_ns=197233 comm=cpuChild
[  145.003130] SCHED_LOG: pid=2370, nice=10, vruntime=23929751179, deadline=23929775372, burst_ns=168928 comm=cpuChild
[  145.003314] SCHED_LOG: pid=2369, nice=19, vruntime=23940022186, deadline=23940040936, burst_ns=171447 comm=cpuChild
[  145.003586] SCHED_LOG: pid=2370, nice=10, vruntime=23932174046, deadline=23932198239, burst_ns=260269 comm=cpuChild
[  145.003804] SCHED_LOG: pid=2370, nice=10, vruntime=23934083498, deadline=23934107691, burst_ns=205117 comm=cpuChild
[  145.004037] SCHED_LOG: pid=2370, nice=10, vruntime=23936132204, deadline=23936156397, burst_ns=220076 comm=cpuChild
[  145.004226] SCHED_LOG: pid=2370, nice=10, vruntime=23937740973, deadline=23937765166, burst_ns=172817 comm=cpuChild
[  145.004307] SCHED_LOG: pid=2370, nice=10, vruntime=23938368275, deadline=23938392468, burst_ns=67386 comm=cpuChild
[  145.004398] SCHED_LOG: pid=2370, nice=10, vruntime=23939105750, deadline=23939129943, burst_ns=79221 comm=cpuChild
[  145.004486] SCHED_LOG: pid=2370, nice=10, vruntime=23939813222, deadline=23939837415, burst_ns=75998 comm=cpuChild
[  145.004707] SCHED_LOG: pid=2370, nice=10, vruntime=23941758896, deadline=23941783089, burst_ns=209008 comm=cpuChild
[  145.004887] SCHED_LOG: pid=2369, nice=19, vruntime=23951404765, deadline=23951423515, burst_ns=166737 comm=cpuChild
[  145.005096] SCHED_LOG: pid=2370, nice=10, vruntime=23943580554, deadline=23943604747, burst_ns=195686 comm=cpuChild
[  145.005272] SCHED_LOG: pid=2370, nice=10, vruntime=23945103214, deadline=23945127407, burst_ns=163567 comm=cpuChild
[  145.005456] SCHED_LOG: pid=2370, nice=10, vruntime=23946698215, deadline=23946722408, burst_ns=171338 comm=cpuChild
[  145.005553] SCHED_LOG: pid=2370, nice=10, vruntime=23947483725, deadline=23947507918, burst_ns=84381 comm=cpuChild
[  145.005640] SCHED_LOG: pid=2370, nice=10, vruntime=23948184466, deadline=23948208659, burst_ns=75275 comm=cpuChild
[  145.005830] SCHED_LOG: pid=2370, nice=10, vruntime=23949833506, deadline=23949857699, burst_ns=177143 comm=cpuChild
[  145.006004] SCHED_LOG: pid=2370, nice=10, vruntime=23951336542, deadline=23951360735, burst_ns=161459 comm=cpuChild
[  145.006185] SCHED_LOG: pid=2370, nice=10, vruntime=23952905607, deadline=23952929800, burst_ns=168552 comm=cpuChild
[  145.006355] SCHED_LOG: pid=2369, nice=19, vruntime=23962182433, deadline=23962201183, burst_ns=157876 comm=cpuChild
[  145.006548] SCHED_LOG: pid=2370, nice=10, vruntime=23954584287, deadline=23954608480, burst_ns=180327 comm=cpuChild
[  145.006723] SCHED_LOG: pid=2370, nice=10, vruntime=23956085359, deadline=23956109552, burst_ns=161248 comm=cpuChild
[  145.006874] SCHED_LOG: pid=2370, nice=10, vruntime=23957376362, deadline=23957400555, burst_ns=138682 comm=cpuChild
[  145.006965] SCHED_LOG: pid=2370, nice=10, vruntime=23958106073, deadline=23958130266, burst_ns=78387 comm=cpuChild
[  145.007052] SCHED_LOG: pid=2370, nice=10, vruntime=23958799097, deadline=23958823290, burst_ns=74446 comm=cpuChild
